lat,lon,depth,starttime,energy,duration 
44.57,-123.465,20.0,2009-09-05 02:25:00,0.0, None 
44.575,-123.485,47.0,2009-09-05 02:27:30,0.0, None 
44.55,-123.495,51.0,2009-09-05 02:30:00,0.0, None 
44.475,-123.59,47.0,2009-09-05 02:32:30,0.0, None 
44.593,-123.547,47.8,2009-09-05 02:37:30,0.0, None 
44.55,-123.51,60.0,2009-09-05 02:52:30,0.0, None 
44.52,-123.69,60.0,2009-09-05 02:55:00,0.0, None 
44.53,-123.51,60.0,2009-09-05 03:22:30,0.0, None 
44.47,-123.445,60.0,2009-09-05 03:25:00,0.0, None 
44.6,-123.62,60.0,2009-09-05 03:35:00,0.0, None 
44.4,-123.66,20.0,2009-09-05 03:37:30,0.0, None 
44.515,-123.61,35.0,2009-09-05 03:40:00,0.0, None 
44.56,-123.465,60.0,2009-09-05 03:42:30,0.0, None 
44.55,-123.435,20.0,2009-09-05 03:45:00,0.0, None 
44.59,-123.54,32.5,2009-09-05 03:55:00,0.0, None 
44.445,-123.395,20.0,2009-09-05 03:57:30,0.0, None 
44.41,-123.305,60.0,2009-09-05 04:00:00,0.0, None 
44.41,-123.22,20.0,2009-09-05 04:17:30,0.0, None 
44.52,-123.79,60.0,2009-09-05 04:20:00,0.0, None 
44.45,-123.66,60.0,2009-09-05 04:25:00,0.0, None 
44.515,-123.47,20.0,2009-09-05 04:50:00,0.0, None 
44.59,-123.56,48.0,2009-09-05 05:02:30,0.0, None 
44.41,-123.31,60.0,2009-09-05 05:12:30,0.0, None 
44.59,-123.48,41.5,2009-09-05 05:17:30,0.0, None 
44.5,-123.625,43.0,2009-09-05 05:25:00,0.0, None 
44.585,-123.52,58.5,2009-09-05 05:27:30,0.0, None 
44.405,-123.48,20.0,2009-09-05 05:32:30,0.0, None 
44.57,-123.19,20.0,2009-09-05 05:35:00,0.0, None 
44.48,-123.71,20.0,2009-09-05 05:37:30,0.0, None 
44.52,-123.63,20.0,2009-09-05 05:40:00,0.0, None 
44.52,-123.635,36.0,2009-09-05 05:42:30,0.0, None 
44.58,-123.76,46.0,2009-09-05 05:45:00,0.0, None 
44.545,-123.62,49.5,2009-09-05 05:50:00,0.0, None 
44.55,-123.52,59.5,2009-09-05 05:52:30,0.0, None 
44.53,-123.42,33.0,2009-09-05 05:55:00,0.0, None 
44.545,-123.58,60.0,2009-09-05 06:00:00,0.0, None 
44.555,-123.52,50.0,2009-09-05 06:02:30,0.0, None 
44.57,-123.45,25.0,2009-09-05 06:05:00,0.0, None 
44.5,-123.535,30.0,2009-09-05 07:07:30,0.0, None 
44.48,-123.59,38.5,2009-09-05 07:10:00,0.0, None 
44.445,-123.61,31.0,2009-09-05 07:17:30,0.0, None 
44.46,-123.38,48.0,2009-09-05 07:42:30,0.0, None 
44.52,-123.532,45.0,2009-09-05 08:07:30,0.0, None 
44.51,-123.575,37.0,2009-09-05 08:10:00,0.0, None 
44.49,-123.62,33.0,2009-09-05 08:12:30,0.0, None 
44.49,-123.56,41.0,2009-09-05 08:15:00,0.0, None 
44.4,-123.51,20.0,2009-09-05 08:17:30,0.0, None 
44.43,-123.495,41.0,2009-09-05 08:20:00,0.0, None 
44.56,-123.44,37.5,2009-09-05 08:22:30,0.0, None 
44.59,-123.66,25.5,2009-09-05 08:25:00,0.0, None 
44.455,-123.285,20.0,2009-09-05 08:35:00,0.0, None 
44.51,-123.63,31.0,2009-09-05 09:02:30,0.0, None 
44.52,-123.595,36.5,2009-09-05 09:05:00,0.0, None 
44.58,-123.51,37.0,2009-09-05 09:07:30,0.0, None 
44.572,-123.487,54.2,2009-09-05 09:10:00,0.0, None 
44.53,-123.57,25.0,2009-09-05 09:15:00,0.0, None 
44.53,-123.63,20.0,2009-09-05 09:17:30,0.0, None 
44.47,-123.585,41.0,2009-09-05 09:20:00,0.0, None 
44.48,-123.545,31.0,2009-09-05 09:22:30,0.0, None 
44.54,-123.79,48.0,2009-09-05 09:25:00,0.0, None 
44.56,-123.615,24.5,2009-09-05 09:27:30,0.0, None 
44.44,-123.46,20.0,2009-09-05 09:30:00,0.0, None 
44.52,-123.39,33.5,2009-09-05 09:32:30,0.0, None 
44.48,-123.34,60.0,2009-09-05 09:35:00,0.0, None 
44.42,-123.43,26.0,2009-09-05 09:37:30,0.0, None 
44.42,-123.405,20.0,2009-09-05 09:40:00,0.0, None 
44.48,-123.43,20.0,2009-09-05 09:42:30,0.0, None 
44.56,-123.28,35.0,2009-09-05 09:50:00,0.0, None 
44.58,-123.395,60.0,2009-09-05 10:05:00,0.0, None 
44.585,-123.6,40.0,2009-09-05 10:10:00,0.0, None 
44.53,-123.4,38.0,2009-09-05 10:12:30,0.0, None 
44.6,-123.46,34.0,2009-09-05 10:17:30,0.0, None 
44.49,-123.4,35.0,2009-09-05 10:20:00,0.0, None 
44.5,-123.36,20.0,2009-09-05 10:22:30,0.0, None 
44.54,-123.49,20.0,2009-09-05 10:25:00,0.0, None 
44.59,-123.34,60.0,2009-09-05 10:27:30,0.0, None 
44.585,-123.85,60.0,2009-09-05 10:35:00,0.0, None 
44.6,-123.83,60.0,2009-09-05 10:37:30,0.0, None 
44.49,-123.52,20.0,2009-09-05 10:42:30,0.0, None 
44.575,-123.43,60.0,2009-09-05 10:50:00,0.0, None 
44.59,-123.64,60.0,2009-09-05 10:57:30,0.0, None 
44.495,-123.275,60.0,2009-09-05 11:57:30,0.0, None 
44.415,-123.795,60.0,2009-09-05 12:05:00,0.0, None 
44.5,-123.43,27.0,2009-09-05 12:15:00,0.0, None 
44.47,-123.47,22.0,2009-09-05 12:20:00,0.0, None 
44.41,-123.47,32.0,2009-09-05 12:22:30,0.0, None 
44.52,-122.66,30.0,2009-09-05 12:25:00,0.0, None 
44.44,-123.525,60.0,2009-09-05 12:40:00,0.0, None 
44.58,-123.265,29.0,2009-09-05 12:50:00,0.0, None 
44.43,-123.31,60.0,2009-09-05 12:52:30,0.0, None 
44.45,-123.35,60.0,2009-09-05 12:55:00,0.0, None 
44.57,-122.63,60.0,2009-09-05 13:02:30,0.0, None 
44.525,-122.695,27.0,2009-09-05 13:17:30,0.0, None 
44.59,-122.7,47.0,2009-09-05 13:25:00,0.0, None 
44.59,-123.55,52.0,2009-09-05 13:50:00,0.0, None 
44.595,-123.3,60.0,2009-09-05 14:05:00,0.0, None 
44.56,-123.52,60.0,2009-09-05 14:07:30,0.0, None 
44.575,-122.71,60.0,2009-09-05 15:02:30,0.0, None 
44.48,-123.265,60.0,2009-09-05 17:22:30,0.0, None 
44.5,-123.595,54.0,2009-09-05 17:32:30,0.0, None 
44.44,-123.4,20.0,2009-09-05 18:20:00,0.0, None 
44.59,-123.42,49.0,2009-09-05 18:22:30,0.0, None 
44.4,-123.45,20.0,2009-09-05 19:27:30,0.0, None 
44.4,-123.63,60.0,2009-09-05 19:35:00,0.0, None 
44.44,-123.53,21.5,2009-09-05 20:07:30,0.0, None 
44.52,-123.505,20.0,2009-09-05 20:10:00,0.0, None 
