time,dvv,ccmean
2018-09-25,0.021142146949287666,5.943848274725362
2018-09-26,0.016081207293856474,5.952954780629376
2018-09-27,0.015876887150972668,5.956931098742087
2018-09-28,0.01857038039766808,5.960628205753787
2018-09-29,0.014264898682635621,5.962146024849879
2018-09-30,0.012910957610656821,5.9625047928779855
2018-10-01,0.01371470613143131,5.964702656771003
2018-10-02,0.012774317553426687,5.964875249600947
2018-10-03,0.011322724548082738,5.961883691994909
2018-10-04,0.002613943450100072,5.955411729673812
2018-10-05,-0.003008523956019027,5.950901576705005
2018-10-06,-0.002194189665109243,5.945768085504151
2018-10-07,-0.002576640244502634,5.946910346399971
2018-10-08,-0.0034720031148674354,5.940735095284081
2018-10-09,-0.005930248602700495,5.936907894277628
2018-10-10,-0.009093659377872928,5.9269163336898085
2018-10-11,-0.007636595802417014,5.916323807534731
2018-10-12,-0.007735376301233746,5.914356928432862
2018-10-13,-0.006966937692721152,5.918464345565624
2018-10-14,-0.010762643049858616,5.9161923392492275
2018-10-15,-0.015728473381421765,5.908198697850159
2018-10-16,-0.019763756127297992,5.8973831157874965
2018-10-17,-0.022411696635625075,5.885622545466947
2018-10-18,-0.025819743957637017,5.880718451476469
2018-10-19,-0.02687548772312152,5.876845026373922
2018-10-20,-0.02702270550564354,5.884970418168638
2018-10-21,-0.026239257389855924,5.8920505679159865
2018-10-22,-0.02575787210085884,5.893122684107454
2018-10-23,-0.02621945443167396,5.904842671466363
2018-10-24,-0.025254519416227878,5.905425296214669
2018-10-25,-0.03126536791987425,5.894959831713779
2018-10-26,-0.036733291029293076,5.892797472607677
2018-10-27,-0.039710942459640304,5.886613387020183
2018-10-28,-0.041919061007384954,5.871735899476387
2018-10-29,-0.044337781335830447,5.87164608857961
2018-10-30,-0.050929465093016955,5.875184906702896
2018-10-31,-0.05782208298059731,5.876237731705739
2018-11-01,-0.06335913942995514,5.878183537299476
2018-11-02,-0.0675060984782743,5.874502519317945
2018-11-03,-0.06983616534266862,5.864580332476439
2018-11-04,-0.06725715592444978,5.861126113483439
2018-11-05,-0.06614546260632137,5.85704027283015
2018-11-06,-0.06922905684942457,5.853109967708872
2018-11-07,-0.07165529872950525,5.843838589482063
2018-11-08,-0.07518304979290703,5.833664499986069
2018-11-09,-0.07639731916274309,5.829112165089677
2018-11-10,-0.08070509272412549,5.818433792843368
2018-11-11,-0.08211028167869507,5.817479306453224
2018-11-12,-0.08917333626037974,5.809701777952531
2018-11-13,-0.09093720621017001,5.809538043628645
2018-11-14,-0.08769332443578372,5.809303873369101
2018-11-15,-0.08874316862015601,5.808311558299495
2018-11-16,-0.08802347040482181,5.815324139238833
2018-11-17,-0.09072113480287582,5.805879917216368
2018-11-18,-0.08786366332143088,5.8122393031887905
2018-11-19,-0.0872144496635635,5.819870083159963
2018-11-20,-0.08657459594858422,5.8291313678252274
2018-11-21,-0.08586501931339914,5.829410864770392
2018-11-22,-0.08835039127326307,5.820131880611987
2018-11-23,-0.08742769931558353,5.812911870349967
2018-11-24,-0.08720049084481461,5.817722447452909
2018-11-25,-0.08800706173839787,5.814883340811581
2018-11-26,-0.0908208705289216,5.8155740515553696
2018-11-27,-0.09698996236212051,5.8130910262528985
2018-11-28,-0.09762636758201805,5.817317048460953
2018-11-29,-0.10071397548929199,5.800557476654985
2018-11-30,-0.10680435543304115,5.793646373674705
2018-12-01,-0.1102196228272336,5.7909730573174665
2018-12-02,-0.1131087299183447,5.7847671361461614
2018-12-03,-0.11312085763183571,5.784138198776957
2018-12-04,-0.11092780662791459,5.789682499410884
2018-12-05,-0.11034516798355783,5.780562690180445
2018-12-06,-0.11076652747395833,5.772065935230239
2018-12-07,-0.11004578506904206,5.774130285588539
2018-12-08,-0.113131480197581,5.767630941372618
2018-12-09,-0.11551562514564087,5.7759860791745705
2018-12-10,-0.11920767663130244,5.771325719738471
2018-12-11,-0.11879801674503261,5.762788427735944
2018-12-12,-0.12007609733909892,5.7528864086862335
2018-12-13,-0.12001626593119437,5.755315398796094
2018-12-14,-0.1191266291920873,5.756604652785307
2018-12-15,-0.11640601451164441,5.756355456011433
2018-12-16,-0.11416397023386854,5.755841157225965
2018-12-17,-0.11206732299436911,5.762952725813205
2018-12-18,-0.10992293781389328,5.771415404734128
2018-12-19,-0.10888098945744415,5.77526084130048
2018-12-20,-0.10784857743732872,5.771837396683384
2018-12-21,-0.1098438018597166,5.757982591174952
2018-12-22,-0.10880720039599964,5.748685080229838
2018-12-23,-0.1073944402027217,5.746804835575924
2018-12-24,-0.10483778069648099,5.741446070102256
2018-12-25,-0.09660759907531527,5.7600696939981475
2018-12-26,-0.09341366793021305,5.771466341261973
2018-12-27,-0.0972876722753994,5.778193414986695
2018-12-28,-0.1022467685442257,5.781717976668825
2018-12-29,-0.0941271421671361,5.79725493519085
2018-12-30,-0.08862386765721916,5.809660447500445
2018-12-31,-0.08673990615767732,5.814632795298996
2019-01-01,-0.08692613613933295,5.808163084187018
2019-01-02,-0.08865701439140304,5.816755920342392
2019-01-03,-0.08824134902629167,5.831450507048236
2019-01-04,-0.08832121172118455,5.838899159375732
2019-01-05,-0.08705408715967211,5.842845687593669
2019-01-06,-0.08512244260876127,5.850421967370693
2019-01-07,-0.08263781763442847,5.856583592920493
2019-01-08,-0.08267066668373763,5.86165235491201
2019-01-09,-0.08319626449091808,5.865038992586329
2019-01-10,-0.07976403324363836,5.875158773215208
2019-01-11,-0.07194939795890054,5.888884392926297
2019-01-12,-0.06529966647793417,5.897858190632738
2019-01-13,-0.06259663329412102,5.9024979297990745
2019-01-14,-0.06024243372531758,5.906572463508471
2019-01-15,-0.062148999004406895,5.907408818158492
2019-01-16,-0.06137424077675792,5.90451115842945
2019-01-17,-0.06251892584629183,5.897866323291396
2019-01-18,-0.06687736539725286,5.896416485723817
2019-01-19,-0.06910641419399305,5.895556848201418
2019-01-20,-0.06987258341846847,5.885345396002709
2019-01-21,-0.0679012290065576,5.88600614084323
2019-01-22,-0.07060583031253546,5.8815856891405405
2019-01-23,-0.06757454110764366,5.880467501139775
2019-01-24,-0.06317024443724573,5.875885883014546
2019-01-25,-0.06639252498780526,5.860538792096554
2019-01-26,-0.06414277826466529,5.848049923324056
2019-01-27,-0.061201161050710544,5.830115205895743
2019-01-28,-0.0615628738616688,5.821712444369997
2019-01-29,-0.05792885965538883,5.819858033945213
